"id","SEX","AGE","PREFECTURE","JOB","一人暮らし","配偶者","家族","朝食の頻度","日食の頻度","外朝食の頻度","外日食の頻度","内朝食の頻度","内日食の頻度","作朝食の頻度","作日食の頻度","料理人","購入人"
1,1,58,13,0,0,1,0,6.5,6.5,1,1,6.5,4.75,1,NA,NA,NA
2,1,64,17,0,0,1,0,8,8,3,3,6.5,5,6.5,4.75,"配偶者","配偶者"
3,1,63,9,0,0,0,1,8,8,2,2,8,8,2,2,"家族","家族"
4,1,56,14,0,0,1,0,6.5,6.5,3.5,3.5,6.5,5,2,2,"配偶者","配偶者"
5,1,42,14,0,0,1,1,6.5,6.5,5.75,5.75,6.5,3.25,2,2.75,"配偶者","配偶者"
6,1,61,11,0,0,0,1,8,8,1,1,8,8,8,8,"家族","家族"
7,1,40,9,0,0,0,1,8,8,4,4,6.5,3.75,2,2,"家族","家族"
8,1,63,23,0,0,0,1,8,8,4.5,4.5,8,3.75,2.5,NA,"家族","家族"
9,1,63,13,0,0,1,0,8,8,5.5,5.5,5,3.5,2,2.25,"配偶者","配偶者"
10,1,60,9,0,0,1,0,5,6,2.5,2.5,5.5,4.75,5.5,5.25,"配偶者","配偶者"
11,1,63,32,0,1,0,0,8,8,1,1,8,8,8,8,"自分","自分"
12,2,62,27,0,0,1,0,1,8,2,2,NA,2,NA,8,"自分","自分"
13,2,44,28,0,0,1,1,8,8,1,1,8,8,8,8,"自分","自分"
14,1,50,13,0,0,1,1,7,8,2.5,2.5,6.5,4.25,2,NA,"配偶者","配偶者"
15,2,60,8,0,0,1,0,8,8,2.25,2.25,8,8,8,7.75,"自分","自分"
16,1,57,16,0,0,1,0,6,8,1,1,5.5,5.25,3,4,"配偶者","配偶者"
17,2,56,13,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
18,1,57,14,0,0,1,1,8,8,3.75,3.75,8,6.5,6.5,3.5,"配偶者","配偶者"
19,2,58,28,0,0,1,0,6.5,6.5,3.25,3.25,6.5,5.75,6.5,5.75,"自分","自分"
20,2,61,37,0,0,1,1,1,6.5,2.75,2.75,NA,5.5,NA,6,"自分","自分"
21,1,51,46,0,0,1,1,5.5,8,2.75,2.75,5.5,6.5,2,2,"配偶者","配偶者"
22,1,53,37,0,1,0,0,2,6.5,4.25,4.25,NA,4.75,NA,4.75,"自分","自分"
23,1,59,22,0,0,1,1,8,8,8,8,8,8,8,8,"配偶者","配偶者"
24,1,61,37,0,0,1,0,8,8,2,2,8,8,2,2,"配偶者","配偶者"
25,1,44,23,0,0,0,1,5.5,6.5,3.75,3.75,5.5,4.5,2,2,"家族","家族"
26,1,55,21,0,1,0,0,1,6.5,6.5,6.5,NA,1,NA,NA,NA,NA
27,2,46,12,0,0,0,1,1,4.75,NA,NA,NA,NA,NA,NA,"自分","自分"
28,1,60,15,0,0,1,0,4,6,2.5,2.5,4,5,1,3.75,"配偶者","配偶者"
29,2,59,40,0,0,1,0,4,5.5,NA,NA,NA,NA,NA,NA,"自分","自分"
30,2,47,28,0,1,0,0,1,6.5,2,2,NA,2,NA,2,"自分","自分"
31,2,61,13,0,0,1,0,8,8,3.25,3.25,8,6.75,8,6.5,"自分","自分"
32,2,48,16,0,0,1,1,8,8,3,3,8,8,6.5,5.75,"自分","自分"
33,2,46,34,0,1,0,0,8,8,2,2,8,7.25,8,7.5,"自分","自分"
34,2,60,27,0,1,0,0,8,8,1,1,8,8,8,8,"自分","自分"
35,2,52,11,0,0,1,0,8,1,NA,NA,8,NA,2,NA,NA,NA
36,1,62,37,0,0,0,1,6.5,6.5,2,2,6.5,6.5,6.5,5,"家族","家族"
37,2,63,27,0,0,1,0,8,8,2.5,2.5,8,8,8,8,"自分","自分"
38,1,53,13,0,0,1,0,8,8,2.5,2.5,8,3.5,8,NA,"配偶者","配偶者"
39,2,63,27,0,1,0,0,8,8,2.75,2.75,8,8,8,8,"自分","自分"
40,1,53,23,0,0,1,1,8,8,2.5,2.5,8,8,2,2,"配偶者","配偶者"
41,1,62,12,0,0,1,1,6.5,6.5,2.5,2.5,6.5,4.75,3,2.25,"配偶者","配偶者"
42,1,61,17,0,0,1,0,6.5,6.5,3.75,3.75,6.5,4.25,6,NA,"配偶者","配偶者"
43,1,56,28,0,0,1,1,6.5,6.5,3.75,3.75,6.5,4.75,1,1,NA,NA
44,1,56,27,0,0,1,1,8,8,2.75,2.75,8,5.75,2,2,"配偶者","配偶者"
45,1,54,14,0,0,1,1,5.5,8,3,3,4.5,6,2,2.5,"配偶者","配偶者"
46,1,53,24,0,0,1,0,8,8,2.75,2.75,6.5,5,2,2,"配偶者","配偶者"
47,2,55,23,0,0,1,1,8,8,1.5,1.5,6.5,6.75,6.5,6.5,"家族","家族"
48,1,57,4,0,0,0,1,6.5,6.5,2,2,6.5,6.5,6.5,6.5,"家族","家族"
49,1,59,23,0,0,0,1,8,8,1,1,8,8,2,2,"家族","家族"
50,1,57,20,0,1,0,0,1.5,6.25,2,2,NA,2,NA,2,"自分","自分"
51,2,54,14,0,0,0,0,5.5,6.25,4.5,4.5,2.5,3,3,2.25,"自分","自分"
52,2,47,28,0,0,1,1,8,8,2,2,8,6.5,8,6.5,"自分","自分"
53,1,56,13,0,1,0,0,5.5,6.5,3.25,3.25,1,4.75,NA,NA,"自分","自分"
54,1,46,13,0,0,1,0,6.5,6.5,2.75,2.75,6.5,4.75,2,NA,"配偶者","配偶者"
55,1,58,11,0,0,1,0,6.5,6.5,2.75,2.75,6.5,6.5,6.5,6.5,"配偶者","配偶者"
56,2,61,12,0,0,1,1,8,7.75,2,2,8,8,8,8,"自分","自分"
57,1,57,22,0,1,0,0,6.5,6.5,3.25,3.25,6.5,6,2.5,2,"自分","自分"
58,1,55,40,0,0,1,0,8,8,4.5,4.5,8,6.25,2,2,"配偶者","配偶者"
59,1,38,13,0,0,0,1,8,8,2.75,2.75,8,6.5,2,2,"家族","家族"
60,1,60,30,0,0,1,0,8,6.25,NA,NA,8,NA,8,NA,"配偶者","配偶者"
61,2,54,14,0,0,1,0,1,4.75,NA,NA,NA,NA,NA,NA,"自分","自分"
62,1,52,43,0,0,1,1,2.5,5.5,NA,NA,NA,NA,NA,NA,"配偶者","配偶者"
63,2,50,14,0,0,1,1,6.5,7,1.75,1.75,6,6.75,6,6.25,"自分","自分"
64,1,51,29,0,0,0,1,6.5,6.5,2,2,6.5,5,6.5,5,"家族","家族"
65,1,48,14,0,0,0,1,6,5.25,3,3,3.5,3.5,3.5,2,"家族","家族"
66,2,48,13,0,0,0,1,4.5,6.5,3.25,3.25,NA,5.75,NA,1,NA,NA
67,1,51,22,0,0,0,1,4.5,4.75,NA,NA,NA,NA,NA,NA,"家族","家族"
68,1,56,13,0,0,1,0,8,8,2,2,8,6.5,1,1,NA,NA
69,1,62,11,0,0,1,1,8,8,2.75,2.75,8,8,2,3.5,"配偶者","配偶者"
70,1,55,9,0,0,1,1,6,7.25,2.75,2.75,6,5,2,2.25,"配偶者","配偶者"
71,2,57,38,0,0,1,1,8,7.75,3.25,3.25,7.5,7,7.5,7.75,"自分","自分"
72,2,52,33,0,0,1,0,8,8,4.25,4.25,8,7.25,8,5.75,"自分","自分"
73,1,39,20,0,0,0,1,3,6.5,1.75,1.75,NA,6.5,NA,1,NA,NA
74,1,47,25,0,0,0,1,1,8,1,1,NA,8,NA,2,"家族","家族"
75,1,64,14,0,1,0,0,1,8,1,1,NA,8,NA,5,"自分","自分"
76,1,55,44,0,0,1,1,6.5,8,2.25,2.25,6.5,5.5,1,1,NA,NA
77,1,64,1,0,0,1,1,6.5,6.5,3.5,3.5,8,4.75,8,4.75,"自分","自分"
78,1,57,19,0,0,1,1,8,8,2.5,2.5,6.5,5,8,5,"自分","自分"
79,1,58,11,0,1,0,0,8,8,3.25,3.25,8,6.5,4,4.5,"自分","自分"
80,2,60,1,0,0,1,1,8,8,2.5,2.5,8,6.25,8,6.25,"自分","自分"
81,2,55,13,0,0,1,0,6.5,6,1.75,1.75,6,5.75,3,6.25,"自分","自分"
82,1,49,22,0,0,1,1,1,8,2,2,NA,5,NA,2,"配偶者","配偶者"
83,1,57,28,0,0,1,0,6.5,5,3.5,3.5,8,6,8,3.25,"配偶者","配偶者"
